anime_id,name,rating,type,episodes,date,adult,members,genres
61,D.N.Angel,7.2,TV,26,Spring 2003,0,140884,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo"
62,D.C.: Da Capo,6.77,TV,26,Summer 2003,0,45753,"Harem, Drama, Magic, Romance"
63,DearS,6.62,TV,12,Summer 2004,1,107452,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen"
64,Rozen Maiden,7.44,TV,12,Fall 2004,0,133405,"Action, Comedy, Drama, Magic, Seinen"
65,Rozen Maiden: Träumend,7.65,TV,12,Fall 2005,0,79290,"Action, Comedy, Drama, Magic, Seinen"
66,Azumanga Daioh,7.98,TV,26,Spring 2002,0,186426,"Slice of Life, Comedy, School"
67,Basilisk: Kouga Ninpou Chou,7.58,TV,24,Spring 2005,1,102454,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy"
68,Black Cat (TV),7.38,TV,23,Fall 2005,0,176170,"Sci-Fi, Adventure, Comedy, Super Power, Shounen"
69,Cluster Edge,6.35,TV,25,Fall 2005,0,5139,"Action, Fantasy, Military, Sci-Fi"
71,Full Metal Panic!,7.65,TV,24,Winter 2002,1,312005,"Action, Military, Sci-Fi, Comedy, Mecha"
72,Full Metal Panic? Fumoffu,8.07,TV,12,Summer 2003,0,217392,"Action, Comedy, School"
73,Full Metal Panic! The Second Raid,7.96,TV,13,Summer 2005,1,188302,"Action, Military, Mecha"
74,Gakuen Alice,7.65,TV,26,Fall 2004,0,65623,"Comedy, School, Shoujo, Super Power"
75,Soukyuu no Fafner: Dead Aggressor,7.3,TV,25,Summer 2004,0,22432,"Action, Drama, Mecha, Military, Sci-Fi"
76,Mahou Shoujo Lyrical Nanoha,7.42,TV,13,Fall 2004,0,56508,"Action, Comedy, Drama, Magic, Super Power"
77,Mahou Shoujo Lyrical Nanoha A's,7.99,TV,13,Fall 2005,0,43448,"Action, Comedy, Drama, Magic, Super Power"
79,Shuffle!,7.09,TV,24,Summer 2005,1,185672,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen"
80,Mobile Suit Gundam,7.78,TV,43,Spring 1979,0,68979,"Action, Military, Sci-Fi, Space, Mecha"
81,Mobile Suit Gundam: The 08th MS Team,8.03,OVA,12,Unknown,0,48173,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi"
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,OVA,6,Unknown,0,32077,"Military, Sci-Fi, Space, Drama, Mecha"
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,Movie,1,Unknown,0,8729,"Military, Sci-Fi, Drama, Romance, Mecha"
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,OVA,13,Unknown,0,26632,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
85,Mobile Suit Zeta Gundam,7.92,TV,50,Spring 1985,0,40387,"Military, Sci-Fi, Space, Drama, Romance, Mecha"
86,Mobile Suit Gundam ZZ,6.66,TV,47,Spring 1986,0,22326,"Space, Comedy, Mecha, Military, Drama, Sci-Fi"
87,Mobile Suit Gundam: Char's Counterattack,7.68,Movie,1,Unknown,0,26798,"Military, Sci-Fi, Space, Drama, Mecha"
88,Mobile Suit Gundam F91,6.67,Movie,1,Unknown,0,17488,"Drama, Mecha, Military, Sci-Fi, Space"
89,Mobile Suit Victory Gundam,6.76,TV,51,Spring 1993,0,13015,"Drama, Mecha, Military, Sci-Fi, Space"
90,Mobile Suit Gundam Wing,7.72,TV,49,Spring 1995,0,111433,"Action, Military, Sci-Fi, Space, Drama, Mecha"
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,OVA,3,Unknown,0,35399,"Action, Drama, Mecha, Military, Sci-Fi, Space"
92,After War Gundam X,7.32,TV,39,Spring 1996,0,20270,"Sci-Fi, Adventure, Space, Drama, Mecha"
93,Mobile Suit Gundam SEED,7.79,TV,50,Fall 2002,1,116428,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space"
94,Mobile Suit Gundam SEED Destiny,7.22,TV,50,Fall 2004,1,78055,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space"
95,Turn A Gundam,7.7,TV,50,Spring 1999,0,20804,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
96,Mobile Fighter G Gundam,7.56,TV,49,Spring 1994,0,45264,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports"
97,Last Exile,7.82,TV,26,Spring 2003,0,94757,"Action, Sci-Fi, Adventure"
98,Mai-HiME,7.46,TV,26,Fall 2004,0,71668,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai"
99,Mai-Otome,7.31,TV,26,Fall 2005,0,35302,"Comedy, Drama, Fantasy, Magic"
100,Shin Shirayuki-hime Densetsu Prétear,7.2,TV,13,Spring 2001,0,38698,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power"
101,Air,7.32,TV,12,Winter 2005,0,195504,"Slice of Life, Supernatural, Drama, Romance"
102,Aishiteruze Baby★★,7.48,TV,26,Spring 2004,0,72496,"Comedy, Drama, Romance, Shoujo"
103,Akazukin Chacha,7.39,TV,74,Winter 1994,0,7818,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo"
104,Ayashi no Ceres,7.23,TV,24,Spring 2000,1,39140,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo"
105,Boys Be...,6.46,TV,13,Spring 2000,0,13333,"Slice of Life, Comedy, Romance, Shounen"
106,Hana yori Dango,7.7,TV,51,Fall 1996,0,32911,"Drama, Romance, School, Shoujo"
107,Ou Dorobou Jing,7.23,TV,13,Spring 2002,0,21041,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen"
108,Ou Dorobou Jing in Seventh Heaven,7.29,OVA,3,Unknown,0,7959,"Adventure, Fantasy, Psychological, Comedy, Shounen"
109,Bakuretsu Tenshi,6.81,TV,24,Spring 2004,0,45141,"Adventure, Comedy, Mecha, Sci-Fi"
110,Chuuka Ichiban!,7.63,TV,52,Spring 1997,0,10847,"Action, Comedy, Drama, Shounen"
111,Corrector Yui,6.83,TV,52,Spring 1999,0,8912,"Sci-Fi, Adventure, Comedy, Magic"
112,Chou Henshin Cosprayers,4.95,TV,8,Winter 2004,0,4647,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi"
113,Uchuu no Stellvia,7.38,TV,26,Spring 2003,0,13459,"Action, Mecha, Romance, Sci-Fi, Space"
114,Sakigake!! Cromartie Koukou,7.93,TV,26,Fall 2003,0,71010,"Comedy, School, Shounen"
115,El Hazard: The Alternative World,6.83,TV,13,Winter 1998,0,7185,"Adventure, Comedy, Fantasy"
116,El Hazard: The Wanderers,6.97,TV,26,Fall 1995,0,10098,"Adventure, Comedy, Romance, Fantasy"
117,El Hazard: The Magnificent World,7.32,OVA,7,Unknown,0,10340,"Adventure, Comedy, Romance, Fantasy"
118,El Hazard 2: The Magnificent World,6.85,OVA,4,Unknown,0,5921,"Adventure, Comedy, Fantasy"
119,Final Approach,6.56,TV,13,Fall 2004,0,24600,"Comedy, Drama, Romance, Slice of Life"
120,Fruits Basket,7.69,TV,26,Summer 2001,0,342950,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo"
121,Fullmetal Alchemist,8.17,TV,51,Fall 2003,0,1013277,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
122,Full Moon wo Sagashite,7.96,TV,52,Spring 2002,0,65835,"Music, Comedy, Supernatural, Drama, Romance, Shoujo"
123,Fushigi Yuugi,7.64,TV,52,Spring 1995,0,70259,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo"
124,Fushigi Yuugi: Eikouden,6.86,OVA,4,Unknown,0,12330,"Adventure, Fantasy, Romance, Drama, Shoujo"
125,Futakoi,6.49,TV,13,Fall 2004,0,23335,"Comedy, Romance, School"
126,Futakoi Alternative,6.91,TV,13,Spring 2005,0,17747,"Comedy, Drama, Romance"
127,Gate Keepers,6.96,TV,24,Spring 2000,0,13862,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen"
128,Gate Keepers 21,6.79,OVA,6,Unknown,0,6664,"Action, Drama, Mecha, Sci-Fi, Shounen"
129,Gensoumaden Saiyuuki,7.59,TV,50,Spring 2000,1,30985,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural"
130,Saiyuuki Reload,7.41,TV,25,Fall 2003,0,19215,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural"
131,Saiyuuki Reload Gunlock,7.42,TV,26,Spring 2004,0,12395,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural"
132,GetBackers,7.61,TV,49,Fall 2002,0,77038,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural"
133,Green Green,6.21,TV,12,Summer 2003,1,89278,"Comedy, Ecchi, Romance, School, Slice of Life"
134,Gunslinger Girl,7.42,TV,13,Fall 2003,1,105578,"Action, Psychological, Military, Drama, Sci-Fi"
135,Hikaru no Go,8.11,TV,75,Fall 2001,0,81339,"Comedy, Game, Shounen, Supernatural"
136,Hunter x Hunter,8.42,TV,62,Fall 1999,0,319664,"Action, Adventure, Super Power, Fantasy, Shounen"
137,Hunter x Hunter: Original Video Animation,8.33,OVA,8,Unknown,0,84406,"Action, Adventure, Super Power, Shounen"
138,Hunter x Hunter: Greed Island,8.21,OVA,8,Unknown,0,101933,"Action, Adventure, Super Power, Fantasy, Shounen"
139,Hunter x Hunter: Greed Island Final,8.29,OVA,14,Unknown,0,95777,"Action, Adventure, Super Power, Fantasy, Shounen"
141,Jinki:Extend,6.14,TV,12,Winter 2005,1,6377,"Mecha, Sci-Fi"
142,Kamikaze Kaitou Jeanne,7.45,TV,44,Winter 1999,0,37550,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo"
143,Kannazuki no Miko,6.87,TV,12,Fall 2004,0,40699,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai"
144,Kanon,7.11,TV,13,Winter 2002,0,38071,"Drama, Romance, Slice of Life, Supernatural"
145,Kareshi Kanojo no Jijou,7.61,TV,26,Fall 1998,0,104630,"Comedy, Drama, Romance, School, Shoujo, Slice of Life"
146,Kono Minikuku mo Utsukushii Sekai,6.76,TV,12,Spring 2004,1,40101,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi"
147,Kimi ga Nozomu Eien,7.24,TV,14,Fall 2003,1,87338,"Drama, Romance, Slice of Life"
148,Kita e.: Diamond Dust Drops,6.62,TV,12,Winter 2004,0,3898,"Drama, Romance, Slice of Life"
149,Loveless,6.86,TV,12,Spring 2005,0,98100,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai"
150,Blood+,7.66,TV,50,Fall 2005,1,222078,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire"
151,Re: Cutey Honey,7.12,OVA,3,Unknown,1,12975,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai"
152,Solty Rei,7.28,TV,24,Fall 2005,1,17452,"Action, Sci-Fi, Super Power"
153,Juuni Kokuki,8.06,TV,45,Spring 2002,0,59421,"Action, Adventure, Fantasy, Magic, Supernatural"
154,Shaman King,7.78,TV,64,Summer 2001,0,245612,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
155,X/1999,6.59,Movie,1,Unknown,1,23990,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural"
156,X,7.43,TV,24,Fall 2001,1,48444,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo"
157,Mahou Sensei Negima!,6.98,TV,26,Winter 2005,0,92498,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural"
158,Maria-sama ga Miteru,7.34,TV,13,Winter 2004,0,29165,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai"
159,Boukyaku no Senritsu,6.34,TV,24,Spring 2004,0,9536,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural"
160,"Ima, Soko ni Iru Boku",7.66,TV,13,Fall 1999,1,49878,"Adventure, Drama, Fantasy, Military, Sci-Fi"
161,Peace Maker Kurogane,7.33,TV,24,Fall 2003,1,33343,"Action, Comedy, Historical, Samurai, Shounen"
162,Pita Ten,6.94,TV,26,Spring 2002,0,15383,"Comedy, Fantasy, Kids, Romance, School, Shounen"
163,Power Stone,6.48,TV,26,Spring 1999,0,4890,"Adventure, Comedy, Fantasy, Historical, Shounen"
164,Mononoke Hime,8.72,Movie,1,Unknown,0,751816,"Action, Adventure, Fantasy"
165,RahXephon,7.42,TV,26,Winter 2002,0,59045,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi"
166,Samurai 7,7.48,TV,26,Summer 2004,0,81250,"Historical, Mecha, Samurai, Sci-Fi"
167,Scrapped Princess,7.41,TV,24,Spring 2003,0,52757,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen"
168,s.CRY.ed,7.38,TV,26,Summer 2001,0,51997,"Action, Sci-Fi, Adventure, Super Power, Drama"
169,Shingetsutan Tsukihime,6.91,TV,12,Fall 2003,1,90530,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire"
170,Slam Dunk,8.53,TV,101,Fall 1993,0,144284,"Comedy, Drama, School, Shounen, Sports"
171,Strange Dawn,6.35,TV,13,Summer 2000,0,2040,"Adventure, Drama, Fantasy"
173,Tactics,7.23,TV,25,Fall 2004,0,22455,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen"
174,Tenjou Tenge,6.93,TV,24,Spring 2004,1,122647,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen"
175,Tokyo Underground,6.63,TV,26,Spring 2002,0,17811,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power"
176,Triangle Heart: Sweet Songs Forever,6.19,OVA,4,Unknown,0,3692,"Adventure, Romance"
177,Tsubasa Chronicle,7.55,TV,26,Spring 2005,0,139563,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen"
178,Ultra Maniac,7.18,TV,26,Spring 2003,0,19552,"Comedy, Magic, Romance, School, Shoujo"
179,Ultra Maniac OVA,6.69,OVA,1,Unknown,0,3527,"Comedy, Magic, Romance, School"
180,Vandread,7.21,TV,13,Fall 2000,0,59498,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space"
181,Vandread: The Second Stage,7.42,TV,13,Fall 2001,0,42245,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space"
182,Tenkuu no Escaflowne,7.7,TV,26,Spring 1996,0,84966,"Adventure, Psychological, Romance, Fantasy, Mecha"
183,Whistle!,7.39,TV,39,Spring 2002,0,8943,"School, Shounen, Sports"
184,Xenosaga The Animation,6.37,TV,12,Winter 2005,0,12205,"Action, Mecha, Sci-Fi, Shounen, Space"
185,Initial D First Stage,8.29,TV,26,Spring 1998,0,175671,"Action, Cars, Drama, Seinen, Sports"
186,Initial D Second Stage,8.12,TV,13,Fall 1999,0,119827,"Action, Cars, Drama, Seinen, Sports"
187,Initial D Third Stage,7.89,Movie,1,Unknown,0,100516,"Action, Cars, Sports, Drama, Romance, Seinen"
188,Gosenzo San'e,6.11,OVA,4,Unknown,Rx - Hentai,1442,"Comedy, Hentai, Mystery, Supernatural"
189,Love Hina,7.14,TV,24,Spring 2000,0,180396,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life"
190,Love Hina Again,7.25,OVA,3,Unknown,0,68432,"Comedy, Drama, Ecchi, Romance, Shounen"
191,Love Hina Christmas Special: Silent Eve,7.34,Special,1,Unknown,0,48789,"Slice of Life, Comedy, Romance"
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.21,Special,1,Unknown,0,43567,"Adventure, Comedy, Romance"
193,Maburaho,6.8,TV,24,Fall 2003,1,69181,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School"
194,Macross Zero,7.55,OVA,5,Unknown,1,24074,"Adventure, Mecha, Military, Sci-Fi, Shounen"
195,Onegai☆Teacher,7.17,TV,12,Winter 2002,0,120350,"Sci-Fi, Comedy, Drama, Romance, School"
196,Onegai☆Twins,6.88,TV,12,Summer 2003,0,65758,"Comedy, Drama, Harem, School, Sci-Fi"
197,Rizelmine,6.55,TV,24,Spring 2002,1,15785,"Sci-Fi, Comedy, Romance, Ecchi, School"
198,Speed Grapher,7.35,TV,24,Spring 2005,1,56694,"Action, Mystery, Super Power"
199,Sen to Chihiro no Kamikakushi,8.83,Movie,1,Unknown,0,1143671,"Adventure, Supernatural, Drama"
200,Tenshi na Konamaiki,7.48,TV,50,Spring 2002,0,14347,"Comedy, Magic, Romance, Shounen"
201,Video Girl Ai,7.21,OVA,6,Unknown,1,15526,"Comedy, Drama, Ecchi, Romance"
202,Wolf's Rain,7.82,TV,26,Winter 2003,0,175713,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi"
203,Words Worth,6.75,OVA,5,Unknown,Rx - Hentai,5326,"Adventure, Hentai, Demons, Magic, Fantasy"
204,Yumeria,6.11,TV,12,Winter 2004,0,18917,"Action, Comedy, Ecchi, Harem, Super Power"
205,Samurai Champloo,8.5,TV,26,Spring 2004,1,676602,"Action, Adventure, Comedy, Historical, Samurai, Shounen"
206,Lodoss-tou Senki: Eiyuu Kishi Den,7.16,TV,27,Spring 1998,0,15321,"Action, Adventure, Drama, Magic, Romance, Fantasy"
207,Lodoss-tou Senki,7.4,OVA,13,Unknown,1,30351,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural"
208,R.O.D: Read or Die,7.67,OVA,3,Unknown,0,42301,"Action, Sci-Fi, Adventure, Mystery, Historical, Magic"
209,R.O.D: The TV,7.55,TV,26,Fall 2003,0,41002,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama"
210,Ranma ½,7.76,TV,161,Spring 1989,1,156150,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen"
211,Pure Mail,6.26,OVA,2,Unknown,Rx - Hentai,2245,Hentai
212,Project A-Ko,6.86,Movie,1,Unknown,0,9083,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power"
213,Pia Carrot e Youkoso!!,6.02,OVA,3,Unknown,Rx - Hentai,2116,"Comedy, Romance, Hentai"
214,Pia Carrot e Youkoso!! 2,6.15,OVA,3,Unknown,Rx - Hentai,1511,"Comedy, Romance, Hentai"
215,Pia Carrot e Youkoso!! 2 DX,6.31,OVA,6,Unknown,0,1456,"Comedy, Romance"
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.94,Movie,1,Unknown,0,1679,"Comedy, Romance"
217,Shin Angel,6.28,OVA,5,Unknown,Rx - Hentai,1563,"Comedy, Drama, Hentai, Romance"
218,Kidou Senkan Nadesico,7.52,TV,26,Fall 1996,0,26662,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space"
219,Kidou Senkan Nadesico: The Prince of Darkness,6.77,Movie,1,Unknown,1,10293,"Action, Comedy, Drama, Mecha, Psychological, Sci-Fi, Shounen, Space"
220,Kuro no Danshou,5.76,OVA,4,Unknown,Rx - Hentai,1506,"Hentai, Horror"
221,Mezzo Forte,6.65,OVA,2,Unknown,Rx - Hentai,18184,"Action, Comedy, Hentai, Sci-Fi"
222,Mezzo DSA,6.68,TV,13,Winter 2004,1,11694,"Action, Adventure, Comedy, Mystery, Sci-Fi"
223,Dragon Ball,8,TV,153,Winter 1986,0,689093,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
225,Dragon Ball GT,6.48,TV,64,Winter 1996,0,447030,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen"
226,Elfen Lied,7.56,TV,13,Summer 2004,1,989764,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen"
227,FLCL,8.03,OVA,6,Unknown,0,459840,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha"
228,Jigoku Shoujo,7.65,TV,26,Fall 2005,1,183624,"Mystery, Horror, Psychological, Supernatural"
229,Ninin ga Shinobuden,6.92,TV,12,Summer 2004,1,21793,"Comedy, Parody, Martial Arts"
230,Air Master,7.02,TV,27,Spring 2003,1,23482,"Action, Comedy, Martial Arts, Seinen"
231,Asagiri no Miko,6.18,TV,26,Summer 2002,0,3856,"Action, Comedy, Supernatural, Fantasy, Seinen"
232,Cardcaptor Sakura,8.16,TV,70,Spring 1998,0,272349,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
233,Daa! Daa! Daa!,7.65,TV,78,Spring 2000,0,15553,"Comedy, Sci-Fi, Shoujo"
234,Dan Doh!!,6.69,TV,26,Spring 2004,0,2492,"Adventure, Sports, Shounen"
235,Detective Conan,8.16,TV,Unknown,Winter 1996,0,207382,"Adventure, Mystery, Comedy, Police, Shounen"
236,E's Otherwise,6.64,TV,26,Spring 2003,0,10712,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural"
237,Koukyoushihen Eureka Seven,8.09,TV,50,Spring 2005,0,249593,"Adventure, Drama, Mecha, Romance, Sci-Fi"
238,Rekka no Honoo,7.36,TV,42,Summer 1997,0,38097,"Action, Adventure, Martial Arts, Shounen, Super Power"
239,Gankutsuou,8.17,TV,24,Fall 2004,1,93522,"Drama, Mystery, Sci-Fi, Supernatural, Thriller"
240,Genshiken,7.66,TV,12,Fall 2004,0,93520,"Slice of Life, Comedy, Parody"
241,Girls Bravo: First Season,6.45,TV,11,Summer 2004,1,98431,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen"
242,Gokusen,7.42,TV,13,Winter 2004,1,25416,"Slice of Life, Comedy, Drama, School, Josei"
243,Gravitation,7.02,TV,13,Fall 2000,0,84491,"Comedy, Music, Romance, Shoujo, Shounen Ai"
244,Agatha Christie no Meitantei Poirot to Marple,6.88,TV,39,Summer 2004,0,3491,"Historical, Mystery"
245,Great Teacher Onizuka,8.7,TV,43,Summer 1999,1,430712,"Slice of Life, Comedy, Drama, School, Shounen"
246,Groove Adventure Rave,7.27,TV,51,Fall 2001,0,59634,"Adventure, Comedy, Fantasy, Romance, Shounen"
247,Harukanaru Toki no Naka de: Hachiyou Shou,7.05,TV,26,Fall 2004,0,12193,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo"
248,Ichigo 100%,6.68,TV,12,Spring 2005,0,73730,"Comedy, Ecchi, Harem, Romance, Shounen"
